TEAM, 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
ARI,BYE#N#0#0,@BUF#N#7#0,LAR#N#0#0,DET#N#0#0,WSH#N#0#0,@SF#N#0#0,@GB#N#0#0,LAC#N#0#0,@MIA#N#0#0,CHI#N#0#0,NYJ#N#0#0,BYE#N#0#0,@SEA#N#0#0,@MIN#N#0#0,SEA#N#0#0,NE#N#0#0,@CAR#N#0#0,@LAR#N#0#0,SF#N#0#0
ATL,BYE#N#0#0,PIT#N#0#0,@PHI#N#0#0,KC#N#0#0,NO#N#0#0,TB#N#0#0,@CAR#N#0#0,SEA#N#0#0,@TB#N#0#0,DAL#N#0#0,@NO#N#0#0,@DEN#N#0#0,BYE#N#0#0,LAC#N#0#0,@MIN#N#0#0,@LV#N#0#0,NYG#N#0#0,@WSH#N#0#0,CAR#N#0#0
BAL,BYE#N#0#0,@KC#N#0#0,LV#N#0#0,@DAL#N#0#0,BUF#N#0#0,@CIN#N#0#0,WSH#N#0#0,@TB#N#0#0,@CLE#N#0#0,DEN#N#0#0,CIN#N#0#0,@PIT#N#0#0,@LAC#N#0#0,PHI#N#0#0,BYE#N#0#0,@NYG#N#0#0,PIT#N#0#0,@HOU#N#0#0,CLE#N#0#0
BUF,BYE#N#0#0,ARI#N#0#0,@MIA#N#0#0,JAX#N#0#0,@BAL#N#0#0,@HOU#N#0#0,@NYJ#N#0#0,TEN#N#0#0,@SEA#N#0#0,MIA#N#0#0,@IND#N#0#0,KC#N#0#0,BYE#N#0#0,SF#N#0#0,@LAR#N#0#0,@DET#N#0#0,NE#N#0#0,NYJ#N#0#0,@NE#N#0#0
CAR,BYE#N#0#0,@NO#N#0#0,LAC#N#0#0,@LV#N#0#0,CIN#N#0#0,@CHI#N#0#0,ATL#N#0#0,@WSH#N#0#0,@DEN#N#0#0,NO#N#0#0,NYG#N#0#0,BYE#N#0#0,KC#N#0#0,TB#N#0#0,@PHI#N#0#0,DAL#N#0#0,ARI#N#0#0,@TB#N#0#0,@ATL#N#0#0
CHI,BYE#N#0#0,TEN#N#0#0,@HOU#N#0#0,@IND#N#0#0,LAR#N#0#0,CAR#N#0#0,JAX#N#0#0,BYE#N#0#0,@WSH#N#0#0,@ARI#N#0#0,NE#N#0#0,GB#N#0#0,MIN#N#0#0,@DET#N#0#0,@SF#N#0#0,@MIN#N#0#0,DET#N#0#0,SEA#N#0#0,@GB#N#0#0
CIN,BYE#N#0#0,NE#N#0#0,@KC#N#0#0,WSH#N#0#0,@CAR#N#0#0,BAL#N#0#0,@NYG#N#0#0,@CLE#N#0#0,PHI#N#0#0,LV#N#0#0,@BAL#N#0#0,@LAC#N#0#0,BYE#N#0#0,PIT#N#0#0,@DAL#N#0#0,@TEN#N#0#0,CLE#N#0#0,DEN#N#0#0,@PIT#N#0#0
CLE,BYE#N#0#0,DAL#N#0#0,@JAX#N#0#0,NYG#N#0#0,@LV#N#0#0,@WSH#N#0#0,@PHI#N#0#0,CIN#N#0#0,BAL#N#0#0,LAC#N#0#0,BYE#N#0#0,@NO#N#0#0,PIT#N#0#0,@DEN#N#0#0,@PIT#N#0#0,KC#N#0#0,@CIN#N#0#0,MIA#N#0#0,@BAL#N#0#0
DAL,BYE#N#0#0,@CLE#N#0#0,NO#N#0#0,BAL#N#0#0,@NYG#N#0#0,@PIT#N#0#0,DET#N#0#0,BYE#N#0#0,@SF#N#0#0,@ATL#N#0#0,PHI#N#0#0,HOU#N#0#0,@WSH#N#0#0,NYG#N#0#0,CIN#N#0#0,@CAR#N#0#0,TB#N#0#0,@PHI#N#0#0,WSH#N#0#0
DEN,BYE#N#0#0,@SEA#N#0#0,PIT#N#0#0,@TB#N#0#0,@NYJ#N#0#0,LV#N#0#0,LAC#N#0#0,@NO#N#0#0,CAR#N#0#0,@BAL#N#0#0,@KC#N#0#0,ATL#N#0#0,@LV#N#0#0,CLE#N#0#0,BYE#N#0#0,IND#N#0#0,@LAC#N#0#0,@CIN#N#0#0,KC#N#0#0
DET,BYE#N#0#0,LAR#N#0#0,TB#N#0#0,@ARI#N#0#0,SEA#N#0#0,BYE#N#0#0,@DAL#N#0#0,@MIN#N#0#0,TEN#N#0#0,@GB#N#0#0,@HOU#N#0#0,JAX#N#0#0,@IND#N#0#0,CHI#N#0#0,GB#N#0#0,BUF#N#0#0,@CHI#N#0#0,@SF#N#0#0,MIN#N#0#0
GB,BYE#N#0#0,@PHI#N#0#0,IND#N#0#0,@TEN#N#0#0,MIN#N#0#0,@LAR#N#0#0,ARI#N#0#0,HOU#N#0#0,@JAX#N#0#0,DET#N#0#0,BYE#N#0#0,@CHI#N#0#0,SF#N#0#0,MIA#N#0#0,@DET#N#0#0,@SEA#N#0#0,NO#N#0#0,@MIN#N#0#0,CHI#N#0#0
HOU,BYE#N#0#0,@IND#N#0#0,CHI#N#0#0,@MIN#N#0#0,JAX#N#0#0,BUF#N#0#0,@NE#N#0#0,@GB#N#0#0,IND#N#0#0,@NYJ#N#0#0,DET#N#0#0,@DAL#N#0#0,TEN#N#0#0,@JAX#N#0#0,BYE#N#0#0,MIA#N#0#0,@KC#N#0#0,BAL#N#0#0,@TEN#N#0#0
IND,BYE#N#0#0,HOU#N#0#0,@GB#N#0#0,CHI#N#0#0,PIT#N#0#0,@JAX#N#0#0,@TEN#N#0#0,MIA#N#0#0,@HOU#N#0#0,@MIN#N#0#0,BUF#N#0#0,@NYJ#N#0#0,DET#N#0#0,@NE#N#0#0,BYE#N#0#0,@DEN#N#0#0,TEN#N#0#0,@NYG#N#0#0,JAX#N#0#0
JAX,BYE#N#0#0,@MIA#N#0#0,CLE#N#0#0,@BUF#N#0#0,@HOU#N#0#0,IND#N#0#0,@CHI#N#0#0,NE#N#0#0,GB#N#0#0,@PHI#N#0#0,MIN#N#0#0,@DET#N#0#0,BYE#N#0#0,HOU#N#0#0,@TEN#N#0#0,NYJ#N#0#0,@LV#N#0#0,TEN#N#0#0,@IND#N#0#0
KC,BYE#N#0#0,BAL#N#0#0,CIN#N#0#0,@ATL#N#0#0,@LAC#N#0#0,NO#N#0#0,BYE#N#0#0,@SF#N#0#0,@LV#N#0#0,TB#N#0#0,DEN#N#0#0,@BUF#N#0#0,@CAR#N#0#0,LV#N#0#0,LAC#N#0#0,@CLE#N#0#0,HOU#N#0#0,@PIT#N#0#0,@DEN#N#0#0
LV,BYE#N#0#0,@LAC#N#0#0,@BAL#N#0#0,CAR#N#0#0,CLE#N#0#0,@DEN#N#0#0,PIT#N#0#0,@LAR#N#0#0,KC#N#0#0,@CIN#N#0#0,BYE#N#0#0,@MIA#N#0#0,DEN#N#0#0,@KC#N#0#0,@TB#N#0#0,ATL#N#0#0,JAX#N#0#0,@NO#N#0#0,LAC#N#0#0
LAR,BYE#N#0#0,@DET#N#0#0,@ARI#N#0#0,SF#N#0#0,@CHI#N#0#0,GB#N#0#0,BYE#N#0#0,LV#N#0#0,MIN#N#0#0,@SEA#N#0#0,MIA#N#0#0,@NE#N#0#0,PHI#N#0#0,@NO#N#0#0,BUF#N#0#0,@SF#N#0#0,@NYJ#N#0#0,ARI#N#0#0,SEA#N#0#0
LAC,BYE#N#0#0,@CAR#N#0#0,@PIT#N#0#0,KC#N#0#0,BYE#N#0#0,@DEN#N#0#0,@ARI#N#0#0,NO#N#0#0,@CLE#N#0#0,TEN#N#0#0,CIN#N#0#0,BAL#N#0#0,@ATL#N#0#0,@KC#N#0#0,TB#N#0#0,DEN#N#0#0,@NE#N#0#0,@LV#N#0#0
MIA,BYE#N#0#0,JAX#N#0#0,BUF#N#0#0,@SEA#N#0#0,TEN#N#0#0,@NE#N#0#0,BYE#N#0#0,@IND#N#0#0,ARI#N#0#0,@BUF#N#0#0,@LAR#N#0#0,LV#N#0#0,NE#N#0#0,@GB#N#0#0,NYJ#N#0#0,@HOU#N#0#0,SF#N#0#0,@CLE#N#0#0,@NYJ#N#0#0
MIN,BYE#N#0#0,@NYG#N#0#0,SF#N#0#0,HOU#N#0#0,@GB#N#0#0,NYJ#N#0#0,BYE#N#0#0,DET#N#0#0,@LAR#N#0#0,IND#N#0#0,@JAX#N#0#0,@TEN#N#0#0,@CHI#N#0#0,ARI#N#0#0,ATL#N#0#0,CHI#N#0#0,@SEA#N#0#0,GB#N#0#0,@DET#N#0#0
NE,BYE#N#0#0,@CIN#N#0#0,SEA#N#0#0,@NYJ#N#0#0,@SF#N#0#0,MIA#N#0#0,HOU#N#0#0,@JAX#N#0#0,NYJ#N#0#0,@TEN#N#0#0,@CHI#N#0#0,LAR#N#0#0,@MIA#N#0#0,IND#N#0#0,BYE#N#0#0,@ARI#N#0#0,@BUF#N#0#0,LAC#N#0#0,BUF#N#0#0
NO,BYE#N#0#0,CAR#N#0#0,@DAL#N#0#0,PHI#N#0#0,@ATL#N#0#0,@KC#N#0#0,TB#N#0#0,DEN#N#0#0,@LAC#N#0#0,@CAR#N#0#0,ATL#N#0#0,CLE#N#0#0,BYE#N#0#0,LAR#N#0#0,@NYG#N#0#0,WSH#N#0#0,@GB#N#0#0,LV#N#0#0,@TB#N#0#0
NYG,BYE#N#0#0,MIN#N#0#0,@WSH#N#0#0,@CLE#N#0#0,DAL#N#0#0,@SEA#N#0#0,CIN#N#0#0,PHI#N#0#0,@PIT#N#0#0,WSH#N#0#0,@CAR#N#0#0,BYE#N#0#0,TB#N#0#0,@DAL#N#0#0,NO#N#0#0,BAL#N#0#0,@ATL#N#0#0,IND#N#0#0,@PHI#N#0#0
NYJ,BYE#N#0#0,@SF#N#0#0,@TEN#N#0#0,NE#N#0#0,DEN#N#0#0,@MIN#N#0#0,BUF#N#0#0,@PIT#N#0#0,@NE#N#0#0,HOU#N#0#0,@ARI#N#0#0,IND#N#0#0,BYE#N#0#0,SEA#N#0#0,@MIA#N#0#0,@JAX#N#0#0,LAR#N#0#0,@BUF#N#0#0,MIA#N#0#0
PHI,BYE#N#0#0,GB#N#0#0,ATL#N#0#0,@NO#N#0#0,@TB#N#0#0,BYE#N#0#0,CLE#N#0#0,@NYG#N#0#0,@CIN#N#0#0,JAX#N#0#0,@DAL#N#0#0,WSH#N#0#0,@LAR#N#0#0,@BAL#N#0#0,CAR#N#0#0,PIT#N#0#0,@WSH#N#0#0,DAL#N#0#0,NYG#N#0#0
PIT,BYE#N#0#0,@ATL#N#0#0,@DEN#N#0#0,LAC#N#0#0,@IND#N#0#0,DAL#N#0#0,@LV#N#0#0,NYJ#N#0#0,NYG#N#0#0,BYE#N#0#0,@WSH#N#0#0,BAL#N#0#0,@CLE#N#0#0,@CIN#N#0#0,CLE#N#0#0,@PHI#N#0#0,@BAL#N#0#0,KC#N#0#0,CIN#N#0#0
SF,BYE#N#0#0,NYJ#N#0#0,@MIN#N#0#0,@LAR#N#0#0,NE#N#0#0,ARI#N#0#0,@SEA#N#0#0,KC#N#0#0,DAL#N#0#0,BYE#N#0#0,@TB#N#0#0,SEA#N#0#0,@GB#N#0#0,@BUF#N#0#0,CHI#N#0#0,LAR#N#0#0,@MIA#N#0#0,DET#N#0#0,@ARI#N#0#0
SEA,BYE#N#0#0,DEN#N#0#0,@NE#N#0#0,MIA#N#0#0,@DET#N#0#0,NYG#N#0#0,SF#N#0#0,@ATL#N#0#0,BUF#N#0#0,LAR#N#0#0,BYE#N#0#0,@SF#N#0#0,ARI#N#0#0,@NYJ#N#0#0,@ARI#N#0#0,GB#N#0#0,MIN#N#0#0,@CHI#N#0#0,@LAR#N#0#0
TB,BYE#N#0#0,WSH#N#0#0,@DET#N#0#0,DEN#N#0#0,PHI#N#0#0,@ATL#N#0#0,@NO#N#0#0,BAL#N#0#0,ATL#N#0#0,@KC#N#0#0,SF#N#0#0,BYE#N#0#0,@NYG#N#0#0,@CAR#N#0#0,LV#N#0#0,@LAC#N#0#0,@DAL#N#0#0,CAR#N#0#0,NO#N#0#0
TEN,BYE#N#0#0,@CHI#N#0#0,NYJ#N#0#0,GB#N#0#0,@MIA#N#0#0,BYE#N#0#0,IND#N#0#0,@BUF#N#0#0,@DET#N#0#0,NE#N#0#0,@LAC#N#0#0,MIN#N#0#0,@HOU#N#0#0,@WSH#N#0#0,JAX#N#0#0,CIN#N#0#0,@IND#N#0#0,@JAX#N#0#0,HOU#N#0#0
WSH,BYE#N#0#0,@TB#N#0#0,NYG#N#0#0,@CIN#N#0#0,@ARI#N#0#0,CLE#N#0#0,@BAL#N#0#0,CAR#N#0#0,CHI#N#0#0,@NYG#N#0#0,PIT#N#0#0,@PHI#N#0#0,DAL#N#0#0,TEN#N#0#0,BYE#N#0#0,@NO#N#0#0,PHI#N#0#0,ATL#N#0#0,@DAL#N#0#0
